city,lat,lng,temp,humidity,cloudiness,windspeed,country,date
Madison,34.73,-86.57,73.4,46,75,2.13,US,1600807797
Cabo San Lucas,22.89,-109.91,88.21,74,20,6.93,MX,1600807953
La Joya,18.67,-99.47,81.52,61,40,6.93,MX,1600808061
Berlevåg,70.86,29.09,42.13,93,75,6.93,NO,1600807842
Thunder Bay,48.4,-89.32,77.47,31,5,8.05,CA,1600807902
Necochea,-38.55,-58.74,66.0,46,47,15.01,AR,1600808061
Saldanha,-33.01,17.94,53.6,71,0,5.82,ZA,1600808062
Coquimbo,-29.95,-71.34,55.4,87,75,11.41,CL,1600808062
Kruisfontein,-34.0,24.73,49.62,87,0,0.54,ZA,1600808062
Los Llanos de Aridane,28.66,-17.92,72.64,88,40,3.36,ES,1600807960
Bethel,41.37,-73.41,67.08,22,1,11.41,US,1600807951
Caravelas,-17.71,-39.25,75.18,82,67,8.68,BR,1600808062
Olinda,-8.01,-34.86,80.6,69,40,10.29,BR,1600808062
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,100,75,4.47,RU,1600808063
Cidreira,-30.18,-50.21,58.03,69,0,15.61,BR,1600808064
Clyde River,70.47,-68.59,32.0,91,20,6.93,CA,1600808064
Sorong,-0.88,131.25,78.08,84,100,2.35,ID,1600807791
Harlingen,26.19,-97.7,89.22,59,75,10.29,US,1600808065
Mayo,38.89,-76.51,70.23,35,1,9.17,US,1600808065
Ngunguru,-35.62,174.5,57.99,95,31,5.99,NZ,1600807800
Inhambane,-23.86,35.38,64.65,76,15,8.93,MZ,1600808066
Lincoln,40.8,-96.67,82.94,37,1,13.87,US,1600808066
Røros,62.57,11.38,50.0,76,100,6.93,NO,1600808066
La Seyne-sur-Mer,43.1,5.88,63.63,80,20,6.06,FR,1600808067
Nicoya,10.15,-85.45,84.2,83,40,10.29,CR,1600808067
Koygorodok,60.45,51.0,40.55,86,0,10.22,RU,1600808067
Santiago del Estero,-27.8,-64.26,84.52,16,0,14.65,AR,1600807842
Elko,41.0,-115.5,79.18,7,33,11.99,US,1600808069
Kemijärvi,66.71,27.43,37.08,80,65,6.13,FI,1600808069
College,64.86,-147.8,46.51,70,75,1.36,US,1600808069
Saint-Joseph,-21.37,55.62,59.5,63,19,5.82,RE,1600807900
Ashtabula,41.7,-80.77,68.83,42,1,4.7,US,1600807926
Singaraja,-8.11,115.09,78.35,74,6,5.91,ID,1600808015
Bilibino,68.05,166.44,33.6,87,100,3.11,RU,1600808069
Ostrovnoy,68.05,39.51,42.04,83,65,13.69,RU,1600808070
Marsh Harbour,26.54,-77.06,80.17,68,12,20.09,BS,1600808070
Sibolga,1.74,98.78,77.23,83,100,3.76,ID,1600808070
Mount Gambier,-37.83,140.77,46.4,100,75,4.7,AU,1600808070
Hastings,50.86,0.57,62.4,87,23,1.99,GB,1600808070
Hanzhong,33.07,107.03,56.16,88,63,0.89,CN,1600808071
Faya,18.39,42.45,72.5,15,3,7.25,SA,1600807798
Verkhnyaya Inta,65.98,60.31,37.81,79,100,5.1,RU,1600808071
Gamboula,4.12,15.14,71.02,95,93,3.09,CF,1600808071
Iquitos,-3.75,-73.25,86.0,66,75,8.05,PE,1600808071
Olovyannaya,50.95,115.57,37.71,86,0,5.26,RU,1600808071
San Cristobal,7.77,-72.22,93.2,41,40,6.93,VE,1600808072
Conil,44.97,3.72,48.42,100,73,2.86,FR,1600808072
Kahului,20.89,-156.47,83.48,45,40,14.99,US,1600807881
Agronom,45.14,39.19,62.13,55,0,8.95,RU,1600808073
Vao,-22.67,167.48,70.14,81,4,13.29,NC,1600808073
Geraldton,-28.77,114.6,46.4,100,0,5.82,AU,1600808074
South Lake Tahoe,38.93,-119.98,74.93,18,1,10.29,US,1600808045
Zhicheng,30.3,111.5,62.01,94,88,3.47,CN,1600808074
